id;ficha;especie;nombre.especie;fecha_orig;fecha;anio;mes;estacion;lugar_orig;muni_orig;id_lugar;lugar;fmt_lugar;muni;codmun;causa_orig;causa;muerte;observa;lesion;cuerpo;estado
574;1401 - 1998-2010;Caretta caretta;Tortuga Boba;04/07/2000;04/07/2000;2000;Julio;Verano;Playa del Socorro;NA;335;Playa Del Socorro;Plaza del Socorro, 38508, Güímar, Santa Cruz de Tenerife, Islas Canarias;Güímar;38020;Indeterminado;Indeterminado;No;Herida en aleta delantera dcha. Se remite al C.R.F.S. de Tafira en Gran Canaria el 05/07/2000;Herida;Aleta;NA
575;1394 - 1998-2010;Caretta caretta;Tortuga Boba;03/07/2000;03/07/2000;2000;Julio;Verano;El Socorro;NA;119;El Socorro;El Socorro, Güímar, Santa Cruz de Tenerife, Islas Canarias;Güímar;38020;Indeterminado;Indeterminado;No;Le falta la aleta delantera dcha.,y tiene heridas en el resto. Se remite al C.R.F.S. de Tafira en Gran Canaria el 04/07/2000;Herida;Aleta;NA
579;1360 - 1998-2010;Caretta caretta;Tortuga Boba;22/06/2000;22/06/2000;2000;Junio;Verano;Instituto Oceanográfico;NA;155;Instituto Oceanografico;NA;Santa Cruz de Tenerife;38038;Indeterminado;Indeterminado;No;Se remite al C.R.F.S. de Tafira en Gran Canaria el 23/06/2000;NA;NA;NA
580;1352 - 1998-2010;Caretta caretta;Tortuga Boba;20/06/2000;20/06/2000;2000;Junio;Verano;Punta de Abona;NA;454;Punta De Abona;Punta de Abona, Arico, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;Si;NA;NA;NA;NA
587;1163 - 1998-2010;Caretta caretta;Tortuga Boba;31/03/2000;31/03/2000;2000;Marzo;Primavera;Muelle de Los Gigantes;NA;269;Muelle De Los Gigantes;Carretera los Gigantes, 38686, Guía de Isora, Santa Cruz de Tenerife, Islas Canarias;Guía de Isora;38019;Indeterminado;Indeterminado;No;NA;NA;NA;NA
594;1017 - 1998-2010;Caretta caretta;Tortuga Boba;31/10/1999;31/10/1999;1999;Octubre;Otoño;Unas millas de Los Gigantes;NA;507;Unas Millas De Los Gigantes;Carretera los Gigantes, 38686, Guía de Isora, Santa Cruz de Tenerife, Islas Canarias;Guía de Isora;38019;Indeterminado;Indeterminado;No;Entregada por Manolo Carrillo. Aleta delantera dcha.inflamada y con un corte en la base, ligero corte en el cuello. Traslado al CRFS de Tafira, Gran Canaria el 02/11/99.;Cortes;Varias partes;Infección
597;965 - 1998-2010;Caretta caretta;Tortuga Boba;21/09/1999;21/09/1999;1999;Septiembre;Otoño;Alta mar 2 millas frente Puerto Colón;NA;17;Alta Mar 2 Millas Frente Puerto Colon;Puerto, Tazacorte, Santa Cruz de Tenerife, Islas Canarias;Adeje;38001;Indeterminado;Indeterminado;No;Se remite al CRFS de Tafira,, Gran Canaria,, el día 22/09/99. Le falta más de la mitad de la aleta delantera izquierda. Peso:9 kgrs.;NA;Aleta;NA
601;923 - 1998-2010;Caretta caretta;Tortuga Boba;25/08/1999;25/08/1999;1999;Agosto;Verano;El Puertito;NA;115;El Puertito;El Puertito, Los Silos, Santa Cruz de Tenerife, Islas Canarias;Silos, Los;38042;Indeterminado;Indeterminado;No;Se remite al CRFS de Tafira, Gran Canaria el 26/08/99;NA;NA;NA
603;905 - 1998-2010;Caretta caretta;Tortuga Boba;13/08/1999;13/08/1999;1999;Agosto;Verano;Los Abrigos, El Médano;NA;217;Los Abrigos, El Medano;Avenida de los Abrigos, 38612, Granadilla de Abona, Santa Cruz de Tenerife, Islas Canarias;Granadilla de Abona;38017;Indeterminado;Indeterminado;No;En buen estado.;NA;NA;NA
604;904 - 1998-2010;Caretta caretta;Tortuga Boba;12/08/1999;12/08/1999;1999;Agosto;Verano;Punta de Abona, El Poris;NA;455;Punta De Abona, El Poris;Punta de Abona, Arico, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Indeterminado;Indeterminado;Si;Muy débil y con inflamación en la cloaca. Se remite al CRFS de Tafira, Gran Canaria el dia 13/08/99;NA;NA;NA
