nombre;ficha;paraje;LRC;LCC;ARC;ACC;Peso;fecha_ok
Tortuga Boba;2663 - actual;Punta Hidalgo;29;33;26,3;31;3,5;a
Tortuga Boba;2637 - actual;Muelle;49;52;42,5;51;20,4;a
Tortuga Boba;2625 - actual;Los Abrigos;43,5;48;37;45;9;a
Tortuga Boba;2619 - actual;El Porís;34;37;29;36;5;a
Tortuga Boba;2605 - actual;Puerto Colón;26,5;29;23,5;27;2,9;a
Tortuga Boba;2582 - actual;El socorro;35;40;40;38;6,5;a
Tortuga Boba;2536 - actual;Puerto Colón;40,4;44;33;4;8,6;a
Tortuga Boba;2515 - actual;Puerto Colón;20;21;17,5;21;1,5;a
Tortuga Boba;2514 - actual;Puerto Colón;28,1;30;23,5;29;3,6;a
Tortuga Boba;2513 - actual;Los Gigantes;32;34;27,2;32;4,7;a
Tortuga Boba;2510 - actual;Puerto Colón;31;33;32;28,5;5,6;a
Tortuga Boba;2509 - actual;Puerto Colón;20;22;17;20;1,5;a
Tortuga Boba;2500 - actual;Playa de las Vistas;25,5;28;22;27;2,7;a
Tortuga Boba;2499 - actual;Los Cristianos;40;43;33,8;39;8,4;a
Tortuga Boba;2494 - actual;El Porís de Abona;41;44;35;43;8,6;m
Tortuga Boba;2493 - actual;Playas de Fañabé;18,4;22;15,5;19,5;1;m
Tortuga Boba;2483 - actual;Los Cristianos;30,2;32;26;31;4,2;m
Tortuga Boba;2482 - actual;Los Cristianos;26;28;22,8;27;3;m
Tortuga Boba;2472 - actual;Playas de Fañabé;21,5;24;18,5;22;1,6;m
Tortuga Boba;2458 - actual;Fañabé;35,5;39;31;38;6,7;m
Tortuga Boba;2456 - actual;Playa San Juan;57,5;62;50,5;60;40;m
Tortuga Boba;2445 - actual;Puerto Colón;34;38;29;35;5,7;m
Tortuga Boba;2191 - actual;Los Gigantes;;;;;;m
Tortuga Boba;2414 - actual;Muelle;42,2;45;37;44;12;m
Tortuga Boba;2422 - actual;puerto;68;72;58,5;68,5;59;m
Tortuga Boba;2113 - actual;Las Galletas (a 2 mil.l);;;;;;m
Tortuga Boba;2089 - actual;Los Roques;42;47;37;44;11,22;m
Tortuga Boba;2088 - actual;Playa Paraíso;38,5;42;34;41;7,9;m
Tortuga Boba;2051 - actual;fañabé;29,5;33;25;29;4,1;m
Tortuga Boba;2050 - actual;Fañabé;24,5;28;21;24;2,4;m
Tortuga Boba;2043 - actual;La Jaca;33,5;37;29;36;5,7;m
Tortuga Boba;2040 - actual;Fañabé 2,5 millas;32;36;27,5;32;5,1;m
Tortuga Boba;2032 - actual;La Jaca;53,4;58;45,1;55;20,7;m
Tortuga Boba;2025 - actual;Las Galletas;38;41;33,5;41;9,4;m
Tortuga Boba;1956 - actual;muelle;50,2;55;44;54;22,2;m
Tortuga Boba;1955 - actual;El Médano;48;55;43,5;54;18,3;m
Tortuga Boba;1954 - actual;El Médano;38;40;35;43;8,5;m
Tortuga Boba;1913 - actual;El Poris;35;39;31;37;6;m
Tortuga Boba;1598 - actual;Muelle;37;41;35,5;43;9,5;m
Tortuga Boba;1811 - actual;Fañabé;35;39;31;37;6,8;m
Tortuga Boba;1791 - actual;Las Galletas;22,7;22;20;21;2;m
Tortuga Boba;1761 - actual;Muelle;20,5;20;17,5;18,5;1,3;m
Tortuga Boba;1657 - actual;Puerto Colón;35;39;32;39;7,5;m
Tortuga Boba;1630 - actual;Puerto Colón;36,5;40;33;40;9,3;m
Tortuga Boba;1577 - actual;Puerto Colón;31;35;;35;5,7;m
Tortuga Boba;1559 - actual;Los Gigantes;26,9;30;24,3;30;3,2;j
Tortuga Boba;1555 - actual;Playa de Jover (Tejina);38,5;43;34,5;41;10,2;j
Tortuga Boba;1553 - actual;Playa de la Punta;33;37;29,5;35;5,8;j
Tortuga Boba;1550 - actual;Playas de Fañabé;33,5;38;30;36;6,75;j
Tortuga Boba;1532 - actual;Puerto Colón;34,5;40;30,5;36;7;j
Tortuga Boba;1530 - actual;Los Gigantes;48;52;40,5;50;19,2;j
Tortuga Boba;1514 - actual;Callao Salvaje;46;50;42;51;0;j
Tortuga Boba;1501 - actual;Costa Amarilla Golf;35,1;41;31,1;36;8;j
Tortuga Boba;1499 - actual;Las Galletas;41,1;45;38,2;47;12;j
Tortuga Boba;1455 - actual;Puerto Colón;34;29,3;38;35;0;j
Tortuga Boba;1425 - actual;Los Gigantes;34;38;30;35;6,2;j
Tortuga Boba;1422 - actual;Puerto colón;53;59;48,5;58;36,5;j
Tortuga Boba;1403 - actual;El Médano;33;36;29;34;5;j
Tortuga Boba;1351 - actual;Los Cristianos;35;38;31;37;6,8;j
Tortuga Boba;1334 - actual;La Caleta;40;45;37,5;44;12;j
Tortuga Boba;1324 - actual;Puerto Colón;43;49;37;45;10,6;j
Tortuga Boba;1309 - actual;Puerto Colón;27;30;23;28;3,5;j
Tortuga Boba;1303 - actual;Taganana;63;0;56;0;0;j
Tortuga Boba;1225 - actual;Fañabé;25,5;28;23;27;3,4;j
Tortuga Boba;1207 - actual;Puerto Colón;26;29;23;27;2,5;j
Tortuga Boba;1202 - actual;CIDEMAT (Valleseco);42,2;47;38,2;46;16;j
Tortuga Boba;1198 - actual;Los Gigantes;30,2;33;26,3;31;4,1;j
Tortuga Boba;1196 - actual;La Caleta;34;39;30;37;6,5;j
Tortuga Boba;1147 - actual;Puerto Colón;22;25;19;22;1,8;j
Tortuga Boba;1133 - actual;San Andrés;40;45;36;43;0;j
Tortuga Boba;1113 - actual;Los Cristianos;33;37;30;36;5,8;j
Tortuga Boba;939 - actual;Pto. S/C Tfe.;48;52;44;51;17,5;j
Tortuga Boba;931 - actual;Puerto Colón;33;36;27;33;5;j
Tortuga Boba;814 - actual;Fañabé;34;37;29;34;0;j
Tortuga Boba;766 - actual;Tachero- Taganana;34;37;30;35;5,5;j
Tortuga Boba;760 - actual;Fañabé;41;45;37;44;11;j
Tortuga Boba;748 - actual;Las Galletas;31,5;34;27;32;2,7;j
