id;ficha;especie;nombre.especie;fecha_orig;fecha;anio;mes;estacion;lugar_orig;muni_orig;id_lugar;lugar;fmt_lugar;muni;codmun;causa_orig;causa;muerte;observa;lesion;cuerpo;estado
51;8525 - 1998-2010;Caretta caretta;Tortuga Boba;31/08/2009;31/08/2009;2009;Agosto;Verano;El Porís;NA;108;El Poris;El Poris, Villa de Mazo, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Artes de pesca;Artes de pesca;No;Aleta derecha, como un  muslo de pollo, con los huesos fuera, amputada por nosotros el 03 Septiembre, con anestesia local.;Amputación;Aleta;NA
52;8517 - 1998-2010;Caretta caretta;Tortuga Boba;25/08/2009;25/08/2009;2009;Agosto;Verano;Playa La Punta (El Porís);NA;354;Playa La Punta (el Poris);Plaza La Punta, 38780, Tijarafe, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Artes de pesca;Artes de pesca;No;Aleta delantera derecha inflamada por enmallamiento.;Enredadas;Aleta;Infección
53;8502 - 1998-2010;Caretta caretta;Tortuga Boba;20/08/2009;20/08/2009;2009;Agosto;Verano;Los Cristianos;NA;220;Los Cristianos;Los Cristianos, Arona, Santa Cruz de Tenerife, Islas Canarias;Arona;38006;Artes de pesca;Artes de pesca;No;Aleta delantera derecha, necrosada.;NA;Aleta;Necrosada
54;8492 - 1998-2010;Caretta caretta;Tortuga Boba;17/08/2009;17/08/2009;2009;Agosto;Verano;Playa de la Punta (El Porís);NA;315;Playa De La Punta (el Poris);Plaza La Punta, 38780, Tijarafe, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Artes de pesca;Artes de pesca;No;Nylón, en boca y caparazón, con mordidas.;NA;Varias partes;NA
55;8491 - 1998-2010;Caretta caretta;Tortuga Boba;17/08/2009;17/08/2009;2009;Agosto;Verano;Playa de la Punta (El Porís);NA;315;Playa De La Punta (el Poris);Plaza La Punta, 38780, Tijarafe, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Artes de pesca;Artes de pesca;No;Se le amputa la Aleta delandera izquierda el 18 de Agosto 2009.;Amputación;Aleta;NA
56;8486 - 1998-2010;Caretta caretta;Tortuga Boba;16/08/2009;16/08/2009;2009;Agosto;Verano;Almáciga;NA;13;Almaciga;Almaciga, Santa Cruz de Tenerife, Islas Canarias;Santa Cruz de Tenerife;38038;Artes de pesca;Artes de pesca;No;Se lleva directamente al contenedor, dando olor.;NA;NA;NA
57;8484 - 1998-2010;Caretta caretta;Tortuga Boba;15/08/2009;15/08/2009;2009;Agosto;Verano;Los Gigantes;NA;227;Los Gigantes;Los Gigantes;Santiago del Teide;38040;Indeterminado;Indeterminado;No;Avistada flotando a la deriva, musgo en caparazón.;NA;Caparazón;NA
58;8474 - 1998-2010;Caretta caretta;Tortuga Boba;09/08/2009;09/08/2009;2009;Agosto;Verano;Radazul;NA;468;Radazul;Centro Comercial Radazul;Rosario, El;38032;Enfermedad;Enfermedad;Si;Muy Débil, con musgo y percebes;NA;NA;Débil
59;8471 - 1998-2010;Caretta caretta;Tortuga Boba;08/08/2009;08/08/2009;2009;Agosto;Verano;Playa La Punta El Poris;NA;355;Playa La Punta El Poris;Plaza La Punta, 38780, Tijarafe, Santa Cruz de Tenerife, Islas Canarias;Arico;38005;Artes de pesca;Artes de pesca;No;Aleta trasera izda inflamada y enmallada, muy activa;Enredadas;Aleta;Infección
60;8461 - 1998-2010;Caretta caretta;Tortuga Boba;05/08/2009;05/08/2009;2009;Agosto;Verano;Chovito;NA;62;Chovito;Tenerife, Santa Cruz de Tenerife, Provincia de Santa Cruz de Tenerife, Canary Islands;Santa Cruz de Tenerife;38038;Artes de pesca;Artes de pesca;No;NA;NA;NA;NA
