Fecha;Especie;Nombre vulgar;Nº Ficha;Paraje;Causa;Muerte;Mun. recogida;Observaciones;Causa2;id_addr;address2
01/02/2016;Caretta caretta;Tortuga Boba;4939 - actual;El Palmar;Enfermedad;Si;ARONA;Infección en la parte trasera, debajo de la aleta izquierda. No tiene microchip.;Enfermedad;102;El Palmar
26/06/2014;Caretta caretta;Tortuga Boba;3123 - actual;El Poris;Artes de pesca;No;ARICO;Aleta delantera derecha necrosada, se amputa el 14/07Le falta el ojo derecho. Esta en el CRFS, pasó de 10, 8 kg a 14,600kg;Artes de pesca;107;El Poris
30/07/2013;Caretta caretta;Tortuga Boba;2369 - actual;Montaña Roja;Choques;No;GRANADILLA DE ABONA;Corte en la parte alta del caparazón, Gran estado de descomposición, unos 30 cm LR;Choques;255;Montaña Roja
15/07/2013;Caretta caretta;Tortuga Boba;2289 - actual;Los Gigantes 1,5 millas;Choques;No;SANTIAGO DEL TEIDE;Traumastismo en el caparazón por helice de embarcación, llega a puerto y muere, Una penita;Choques;231;Los Gigantes 1,5 Millas
13/06/2013;Caretta caretta;Tortuga Boba;2124 - actual;Fañabé;Artes de pesca;No;ADEJE;NA;Artes de pesca;133;Fañabe
08/09/2016;Caretta caretta;Tortuga Boba;5939 - actual;Puerto Colón;Indeterminado;No;ADEJE;NA;Indeterminado;428;Puerto Colon
21/07/2016;Caretta caretta;Tortuga Boba;5700 - actual;Los Cristianos;Debilidad agotamiento;No;ARONA;Liberada en alta mar;Debilidad agotamiento;220;Los Cristianos
08/07/2016;Caretta caretta;Tortuga Boba;5589 - actual;Puerto Colón;Enfermedad;Si;ADEJE;Llena de Percebes;Enfermedad;428;Puerto Colon
03/04/2016;Caretta caretta;Tortuga Boba;5082 - actual;Puerto Colón;Debilidad agotamiento;No;ADEJE;Aleta delantera izda amputada de forma natural. Muy flaca;Debilidad agotamiento;428;Puerto Colon
26/10/2015;Caretta caretta;Tortuga Boba;4814 - actual;Punta Larga;Artes de pesca;No;CANDELARIA;Musgo en caparazón, cuello inflamado. Anzuelo con cable de acero en boca. Entró el tanque de UNELCO Caletillas. Es la 4999;Artes de pesca;460;Punta Larga
22/09/2015;Caretta caretta;Tortuga Boba;4729 - actual;Muelle;Artes de pesca;Si;SANTA CRUZ DE TENERIFE;Aleta delantera derecha necrosada. Jaime Urioste la recogió el 21 por la noche;Artes de pesca;259;Muelle
20/09/2015;Caretta caretta;Tortuga Boba;4720 - actual;Puerto Colón;Artes de pesca;No;ADEJE;Enrollada en nylon y con gran estado de descomposición. P.I.R.S.;Artes de pesca;428;Puerto Colon
16/09/2015;Caretta caretta;Tortuga Boba;4708 - actual;Los gigantes;Artes de pesca;No;SANTIAGO DEL TEIDE;Corte en aleta delantera izquierda necrosada;Artes de pesca;226;Los Gigantes
25/07/2015;Caretta caretta;Tortuga Boba;4509 - actual;Benijo;Indeterminado;No;SANTA CRUZ DE TENERIFE;Gran estado de descomposición, la recoge el servicio de limpieza, junto a la 4507;Indeterminado;38;Benijo
21/07/2015;Caretta caretta;Tortuga Boba;4485 - actual;Puerto Colón;Enfermedad;No;ADEJE;Le faltan capas de escudos del caparazón, flota;Enfermedad;428;Puerto Colon
20/06/2015;Caretta caretta;Tortuga Boba;4131 - actual;Puerto Colón;Artes de pesca;No;ADEJE;Aleta delantera enmallada;Artes de pesca;428;Puerto Colon
07/05/2015;Caretta caretta;Tortuga Boba;3874 - actual;Puerto Colón;Enfermedad;No;ADEJE;NA;Enfermedad;428;Puerto Colon
25/04/2015;Caretta caretta;Tortuga Boba;3847 - actual;Pto. Deportivo San Miguél;Otros;No;SAN MIGUEL DE ABONA;percebes en Caparazón, liberada a 2 millas naúticas de Puerto Colón (Catamarán Bonadea),;Otros;405;Pto. Deportivo San Miguel
25/04/2015;Caretta caretta;Tortuga Boba;3846 - actual;Pto. Deportivo San Miguél;Hidrocarburos;No;SAN MIGUEL DE ABONA;Petroleada, liberada a 2 millas de Puerto Colón (Catamarán Bonadea);Hidrocarburos;405;Pto. Deportivo San Miguel
22/08/2014;Caretta caretta;Tortuga Boba;3456 - actual;Boca Cangrejo;Artes de pesca;No;EL ROSARIO;tortugas (3456 y 3457) rescatadas juntas, enredadas en malla, flotando a la deriva.;Artes de pesca;40;Boca Cangrejo
16/08/2014;Caretta caretta;Tortuga Boba;3433 - actual;El Porís;Artes de pesca;No;ARICO;marcas de nylon en las aletas.;Artes de pesca;108;El Poris
15/08/2014;Caretta caretta;Tortuga Boba;3432 - actual;Playa de la Nea;Artes de pesca;No;EL ROSARIO;corte por nylon en la aleta delantera izquierda, se libera tal cuál, sin microchip.;Artes de pesca;313;Playa De La Nea
09/08/2014;Caretta caretta;Tortuga Boba;3410 - actual;Playas de Fañabé;Debilidad agotamiento;No;ADEJE;NA;Debilidad agotamiento;381;Playas De Fañabe
05/08/2014;Caretta caretta;Tortuga Boba;3399 - actual;Playa de los Cristianos;Indeterminado;No;ARONA;NA;Indeterminado;324;Playa De Los Cristianos
18/07/2014;Caretta caretta;Tortuga Boba;3302 - actual;Los Gigantes;Debilidad agotamiento;No;SANTIAGO DEL TEIDE;NA;Debilidad agotamiento;227;Los Gigantes
29/08/2013;Caretta caretta;Tortuga Boba;2482 - actual;Los Cristianos;Enfermedad;No;ARONA;percebes y algas en el caparazón.;Enfermedad;220;Los Cristianos
23/08/2016;Caretta caretta;Tortuga Boba;5884 - actual;Las galletas;Artes de pesca;No;ARONA;Aleta delantera izda necrosado, se amputa;Artes de pesca;201;Las Galletas
14/09/2014;Caretta caretta;Tortuga Boba;3503 - actual;Puerto colón;Artes de pesca;No;ADEJE;Liberada en la playa El Socorro. Aleta delantera izda necrosada, enmallamiento saco de rafia, se amputa el 25 de septiembre;Artes de pesca;427;Puerto Colon
10/10/2013;Caretta caretta;Tortuga Boba;2619 - actual;El Porís;Artes de pesca;No;ARICO;Aleta delantera izda necrosada, se amputa;Artes de pesca;108;El Poris
15/06/2016;Caretta caretta;Tortuga Boba;5425 - actual;Puerto Colón;Otros;No;ADEJE;extracción de sangre. Liberada en alta mar;Otros;428;Puerto Colon
01/07/2014;Caretta caretta;Tortuga Boba;3163 - actual;Puerto Colón;Enfermedad;No;ADEJE;infección en el caparazón, le falta una escama. 4,8 kg el 29 de julio;Enfermedad;428;Puerto Colon
29/06/2013;Caretta caretta;Tortuga Boba;2208 - actual;La Caleta;Enfermedad;No;ADEJE;Flota;Enfermedad;168;La Caleta
06/09/2016;Caretta caretta;Tortuga Boba;5932 - actual;La Jaca;Artes de pesca;No;ARICO;Corte en aletas delanteras y trasera izquierda. Analítica. Enrollada en saco de naylon . Amputacion aleta delantera derecha.;Artes de pesca;174;La Jaca
25/07/2016;Caretta caretta;Tortuga Boba;5730 - actual;Puerto colón;Otros;No;ADEJE;Análisis de Sangre, liberada en alta mar con Atlantico eco experience;Otros;427;Puerto Colon
11/07/2016;Caretta caretta;Tortuga Boba;5621 - actual;Playa Los Guanchos;Artes de pesca;No;CANDELARIA;Corte en aleta trasera izquierda. Amputada. Info. Anilla: C. Liberación en la Playa El Socorro: Neotrópico.;Artes de pesca;364;Playa Los Guanchos
10/07/2016;Caretta caretta;Tortuga Boba;5601 - actual;Boca Cangrejo;Artes de pesca;No;EL ROSARIO;Nylon en la boca. Avanzado estado de descomposición;Artes de pesca;40;Boca Cangrejo
05/07/2016;Caretta caretta;Tortuga Boba;5561 - actual;Puerto Colón;Debilidad agotamiento;No;ADEJE;Sin microchip. Analítica. Liberación en altamar (Atlantic eco experience).;Debilidad agotamiento;428;Puerto Colon
02/07/2016;Caretta caretta;Tortuga Boba;5541 - actual;Puerto Colón;Otros;No;ADEJE;Motivo ingreso: Hélice de barco. Llevada al PIRS. Corte en caparazón. Sin microchip.;Otros;428;Puerto Colon
20/06/2016;Caretta caretta;Tortuga Boba;5453 - actual;Playa de Fañabé;Indeterminado;No;ADEJE;NA;Indeterminado;308;Playa De Fañabe
19/06/2016;Caretta caretta;Tortuga Boba;5444 - actual;Playa de Fañabé;Choques;No;ADEJE;Caparazón con dos cortes profundos producidos por hélice de embarcación. Liberada en Playa Mujeres;Choques;308;Playa De Fañabe
15/06/2016;Caretta caretta;Tortuga Boba;5424 - actual;puerto colón;Otros;No;ADEJE;Le falta  parte de la aleta delantera izda, extracción de sangre;Otros;425;Puerto Colon
23/05/2016;Caretta caretta;Tortuga Boba;5290 - actual;Puerto Colón;Enfermedad;No;ADEJE;Llena de percebes. Sin microchip. Liberada en alta mar con Bonadea;Enfermedad;428;Puerto Colon
29/07/2015;Caretta caretta;Tortuga Boba;4519 - actual;Radazul;Enfermedad;Si;EL ROSARIO;Musgos y percebes en el caparazón, herida en aleta delantera derecha.  Restos de fibras plásticas. Intususepción grave;Enfermedad;468;Radazul
19/05/2015;Caretta caretta;Tortuga Boba;3937 - actual;Los Gigantes;Artes de pesca;No;SANTIAGO DEL TEIDE;Anzuelo en la garganta. (21 May 15), operada, extracción de anzuelo.;Artes de pesca;227;Los Gigantes
01/10/2014;Caretta caretta;Tortuga Boba;3552 - actual;Taganana Playa del Roque;Artes de pesca;No;SANTA CRUZ DE TENERIFE;Aleta delantera izda unida al cuerpo con un sólo tendón. Se corta con una tijera.;Artes de pesca;495;Taganana Playa Del Roque
02/09/2014;Caretta caretta;Tortuga Boba;3483 - actual;Playas de Fañabé;Debilidad agotamiento;No;ADEJE;NA;Debilidad agotamiento;381;Playas De Fañabe
13/08/2014;Caretta caretta;Tortuga Boba;3426 - actual;El Porís;Artes de pesca;No;ARICO;herida en el cuello y con musgo.;Artes de pesca;108;El Poris
14/09/2013;Caretta caretta;Tortuga Boba;2536 - actual;Puerto Colón;Enfermedad;No;ADEJE;Percebes en el caparazón de haber flotado, activa;Enfermedad;428;Puerto Colon
